
Cut and paste of the bet table at https://bitbet.us/bet/1249/alphago-will-defeat-lee-sedol-overall-in-march/

CONFIRMED BETS: 148.80 BTC
TIME    BET     WEIGHT  BTC IN  IN  BTC OUT     OUT      
12-02-16 05:16  Yes     99`982  0.04000000  13LMz   0.12929351  1Znor   
12-02-16 05:16  No  99`982  0.06000000  13LiM   0.00000000  19YgU   
12-02-16 05:16  Yes     99`982  5.10000000  13LC1   16.48492306     1Znor   
12-02-16 07:01  No  99`698  1.00000000  13LqC   0.00000000  12aT4   
12-02-16 08:03  No  99`531  3.74927428  13Lqy   0.00000000  1M7Zc   
12-02-16 10:21  No  99`160  0.01500000  13LU5   0.00000000  1QEtJ   
12-02-16 11:59  No  98`895  0.10000000  13Lve   0.00000000  12aZY   
12-02-16 14:33  Yes     98`481  0.01400000  13LX9   0.04478144  1H88U   
12-02-16 17:18  Yes     98`036  0.50000000  13Mbe   1.59434705  1Nbno   
12-02-16 19:27  No  97`688  0.00586917  13mMd   0.00000000  13pL4   
12-02-16 23:49  No  96`982  0.58000000  13mnx   0.00000000  17MwV   
13-02-16 22:17  No  93`352  1.55000000  13n1D   0.00000000  15Kfr   
14-02-16 08:05  Yes     91`768  0.10000000  13N8w   0.30481190  18sNm   
14-02-16 11:17  No  91`252  0.14960000  13nPh   0.00000000  1EXjc   
14-02-16 17:47  Yes     90`200  2.50000000  13ntX   7.53238219  1MCV6   
15-02-16 03:58  Yes     88`555  0.12335000  13o5u   0.36709697  1DsbQ   
15-02-16 04:16  No  88`506  5.00000000  13nVv   0.00000000  19D88   
15-02-16 11:06  Yes     87`404  0.04997976  13ohv   0.14745257  1dVak   
15-02-16 13:25  Yes     87`029  0.00150000  13omX   0.00441275  1HNUX   
15-02-16 14:53  No  86`793  0.10000000  13oo1   0.00000000  1EmWn   
15-02-16 18:15  No  86`247  2.50000000  13oQh   0.00000000  17Hve   
15-02-16 20:01  No  85`961  0.01000000  13oTA   0.00000000  19sgs   
15-02-16 20:01  Yes     85`961  0.00250000  13osp   0.00729470  19sgs   
16-02-16 09:29  Yes     83`787  0.02000000  13PJx   0.05738251  32gLm   
16-02-16 09:45  No  83`744  5.01000000  13otS   0.00000000  1NGGT   
16-02-16 10:11  Yes     83`673  1.00000000  13PP1   2.86656913  1SHwG   
16-02-16 12:41  Yes     83`270  0.50000000  13pRt   1.42876544  15ayt   
16-02-16 12:58  Yes     83`224  0.02000000  13pvd   0.05712998  1Ke91   
16-02-16 15:27  No  82`822  3.18135891  13pyQ   0.00000000  1P9b2   
16-02-16 19:28  Yes     82`172  0.50000000  13qbe   1.41645279  1C6zJ   
16-02-16 20:46  Yes     81`962  0.00969311  13QCx   0.02741401  1Ccdy   
16-02-16 21:38  Yes     81`824  0.40000000  13qgL   1.13004033  1Nt3T   
16-02-16 22:03  Yes     81`754  0.25000000  13qig   0.70588273  3F4pa   
17-02-16 00:03  No  81`434  0.25000000  13QJy   0.00000000  1K7G9   
17-02-16 02:37  No  81`017  0.00150000  13QN2   0.00000000  13K5r   
17-02-16 04:26  Yes     80`724  0.00246360  13qSQ   0.00689914  1Zp6r   
17-02-16 04:31  Yes     80`710  0.10000000  13qBr   0.28001167  1EyDu   
17-02-16 05:29  Yes     80`554  0.50000000  13QxK   1.39830901  1J5aZ   
17-02-16 11:18  Yes     79`615  0.04283000  13r8x   0.11887717  17VmJ   
17-02-16 11:18  Yes     79`615  0.01139200  13R8H   0.03161916  134Sn   
17-02-16 13:09  No  79`315  0.19900000  13reB   0.00000000  1KYt9   
17-02-16 13:39  Yes     79`235  0.00103000  13rFG   0.00285004  15nFd   
17-02-16 17:40  No  78`587  0.02500000  13rM6   0.00000000  1FDzm   
17-02-16 20:58  No  78`052  0.02787000  13RQt   0.00000000  17cA8   
